% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 51.71    0.003418           4       843         1 futex
 11.86    0.000784           1       410           epoll_pwait
 11.23    0.000742           1       430           read
  5.46    0.000361           7        47           munmap
  5.17    0.000342           3       105           write
  2.83    0.000187           3        62           mmap
  2.66    0.000176           3        51           mprotect
  1.68    0.000111           4        27           madvise
  1.41    0.000093           9        10           clone
  0.74    0.000049           0        66           rt_sigaction
  0.71    0.000047           1        24         4 openat
  0.59    0.000039           1        38         2 ioctl
  0.57    0.000038           7         5           statx
  0.50    0.000033           1        21           rt_sigprocmask
  0.50    0.000033           1        22           getpid
  0.39    0.000026           1        14           brk
  0.30    0.000020           0        25           close
  0.30    0.000020           3         6         2 epoll_ctl
  0.17    0.000011           0        23           fstat
  0.17    0.000011           0        12           capget
  0.14    0.000009           0        28        13 fcntl
  0.12    0.000008           0        12           getuid
  0.12    0.000008           0        12           getgid
  0.12    0.000008           0        12           geteuid
  0.12    0.000008           0        12           getegid
  0.11    0.000007           7         1           sysinfo
  0.09    0.000006           6         1           getcwd
  0.09    0.000006           2         3           readlink
  0.08    0.000005           2         2           uname
  0.06    0.000004           1         3           gettid
  0.00    0.000000           0         2           stat
  0.00    0.000000           0         8           pread64
  0.00    0.000000           0         1         1 access
  0.00    0.000000           0         1           execve
  0.00    0.000000           0         2         1 arch_prctl
  0.00    0.000000           0         1           sched_getaffinity
  0.00    0.000000           0         1           set_tid_address
  0.00    0.000000           0         1           set_robust_list
  0.00    0.000000           0         2           eventfd2
  0.00    0.000000           0         2           epoll_create1
  0.00    0.000000           0         2           dup3
  0.00    0.000000           0         3           pipe2
  0.00    0.000000           0         8           prlimit64
  0.00    0.000000           0         1           getrandom
  0.00    0.000000           0         1         1 pkey_alloc
------ ----------- ----------- --------- --------- ----------------
100.00    0.006610                  2363        25 total
