% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 37.54    0.000524          10        48           munmap
  8.74    0.000122           2        51           mprotect
  8.67    0.000121           1        62           mmap
  7.74    0.000108           4        27           madvise
  7.31    0.000102           1        66           rt_sigaction
  5.52    0.000077           1        45         2 futex
  2.79    0.000039           7         5           write
  2.58    0.000036           0        38         2 ioctl
  1.93    0.000027           1        21           rt_sigprocmask
  1.79    0.000025           1        14           brk
  1.65    0.000023           0        25           close
  1.58    0.000022           3         7           epoll_pwait
  1.36    0.000019           0        22           getpid
  1.36    0.000019           0        24         4 openat
  1.15    0.000016           3         5           statx
  1.00    0.000014           4         3           readlink
  0.93    0.000013           1        10           clone
  0.86    0.000012           0        23           fstat
  0.79    0.000011           0        28        13 fcntl
  0.72    0.000010           3         3           gettid
  0.64    0.000009           1         6         2 epoll_ctl
  0.57    0.000008           0        12           geteuid
  0.50    0.000007           0        30           read
  0.50    0.000007           0        12           getegid
  0.50    0.000007           0        12           capget
  0.43    0.000006           0        12           getuid
  0.43    0.000006           0        12           getgid
  0.21    0.000003           3         1           getcwd
  0.21    0.000003           3         1           sysinfo
  0.00    0.000000           0         2           stat
  0.00    0.000000           0         8           pread64
  0.00    0.000000           0         1         1 access
  0.00    0.000000           0         1           execve
  0.00    0.000000           0         2           uname
  0.00    0.000000           0         2         1 arch_prctl
  0.00    0.000000           0         1           sched_getaffinity
  0.00    0.000000           0         1           set_tid_address
  0.00    0.000000           0         1           set_robust_list
  0.00    0.000000           0         2           eventfd2
  0.00    0.000000           0         2           epoll_create1
  0.00    0.000000           0         2           dup3
  0.00    0.000000           0         3           pipe2
  0.00    0.000000           0         8           prlimit64
  0.00    0.000000           0         1           getrandom
  0.00    0.000000           0         1         1 pkey_alloc
------ ----------- ----------- --------- --------- ----------------
100.00    0.001396                   663        26 total
