% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 38.26    0.000632           6       105           write
 24.03    0.000397           9        44           munmap
  6.11    0.000101           1        66           rt_sigaction
  5.87    0.000097           0       228           read
  5.15    0.000085           0       125         4 openat
  4.48    0.000074           2        34           futex
  4.30    0.000071           0       126           close
  2.72    0.000045           1        27           madvise
  2.12    0.000035           0        38         2 ioctl
  1.82    0.000030           1        21           rt_sigprocmask
  1.76    0.000029           0        47           mprotect
  1.33    0.000022           3         6         2 epoll_ctl
  0.85    0.000014           0        28        13 fcntl
  0.73    0.000012           0        23           fstat
  0.48    0.000008           2         3           epoll_pwait
  0.00    0.000000           0         2           stat
  0.00    0.000000           0        58           mmap
  0.00    0.000000           0        14           brk
  0.00    0.000000           0         8           pread64
  0.00    0.000000           0         1         1 access
  0.00    0.000000           0        22           getpid
  0.00    0.000000           0         6           clone
  0.00    0.000000           0         1           execve
  0.00    0.000000           0         1           uname
  0.00    0.000000           0         1           getcwd
  0.00    0.000000           0         3           readlink
  0.00    0.000000           0         1           sysinfo
  0.00    0.000000           0        12           getuid
  0.00    0.000000           0        12           getgid
  0.00    0.000000           0        12           geteuid
  0.00    0.000000           0        12           getegid
  0.00    0.000000           0        12           capget
  0.00    0.000000           0         2         1 arch_prctl
  0.00    0.000000           0         3           gettid
  0.00    0.000000           0         1           sched_getaffinity
  0.00    0.000000           0         1           set_tid_address
  0.00    0.000000           0         1           set_robust_list
  0.00    0.000000           0         2           eventfd2
  0.00    0.000000           0         2           epoll_create1
  0.00    0.000000           0         2           dup3
  0.00    0.000000           0         3           pipe2
  0.00    0.000000           0         8           prlimit64
  0.00    0.000000           0         1           getrandom
  0.00    0.000000           0         1         1 pkey_alloc
  0.00    0.000000           0         5           statx
------ ----------- ----------- --------- --------- ----------------
100.00    0.001652                  1131        24 total
